Product Name,Processor,Operating System,Display,Warranty,Discount,Rating,Number of Ratings,Number of Reviews,RAM (GB),Storage (GB),Price (₹),Original Price (₹),Price-to-Performance Ratio
HP Victus 15 AMD Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,38.86 cm (15.3 Inch) Display,1 Year Onsite Warranty,20,4.3,534,31,16,512.0,57990.0,72718.0,109.82954545454545
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Hom...",Intel Core i3 Processor (12th Gen),64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,No Warranty,21,4.1,88,10,8,512.0,39972.0,50724.0,76.86923076923077
HP 250 G9 Intel Celeron Dual Core 12th Gen 4500u - (8 GB/256 GB SSD/DOS) 8Y2Y9PA Laptop,Intel Celeron Dual Core Processor (12th Gen),DOS Operating System,39.62 cm (15.6 inch) Display,No Warranty,26,3.4,90,8,8,256.0,22865.0,30900.0,86.60984848484848
Lenovo V14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) V14 ITL G2 Thin and Light ...,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,1 Year Carry In To SERVICE CENTER WARRANTY,47,4.1,367,26,8,512.0,34880.0,66494.0,67.07692307692308
ASUS TUF Gaming F15 Intel Core i7 12th Gen 12700H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVID...,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No Discount,4.7,39,7,16,1.0,181990.0,,10705.29411764706
HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,25,4.4,702,51,16,512.0,59990.0,80000.0,113.61742424242425
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Ho...",Intel Core i5 Processor (13th Gen),64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,No Warranty,28,4.2,549,30,16,512.0,52490.0,73163.0,99.41287878787878
HP Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0315TU Thin and Light Laptop,Intel Core i5 Processor (13th Gen),Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,24,3.9,84,5,16,512.0,53990.0,71773.0,102.25378787878788
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Hom...",Intel Core i3 Processor (12th Gen),64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,No Warranty,20,4.1,193,14,8,512.0,41499.0,51999.0,79.80576923076923
ASUS Vivobook S 15 OLED Intel Core i9 13th Gen 13900H - (16 GB/1 TB SSD/Windows 11 Home) S5504VA-MA951...,Intel Core i9 Processor (13th Gen),Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,26,4.4,81,4,16,1.0,98900.0,134990.0,5817.64705882353
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ341WS Thi...,Intel Core i3 Processor (12th Gen),Windows 11 Home Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,36,4.3,927,770,16,512.0,34990.0,54990.0,66.26893939393939
HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Pro/4 GB Graphics/NVIDIA GeForc...,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,20,4.3,530,26,16,512.0,67990.0,86050.0,128.7689393939394
Lenovo IdeaPad 5 2-in-1 WUXGA IPS AMD Ryzen 7 Octa Core 8845HS - (16 GB/512 GB SSD/Windows 11 Home) 14...,AMD Ryzen 7 Octa Core Processor,Windows 11 Operating System,35.56 cm (14 inch) Touchscreen Display,1 Year Carry-in Warranty,26,4,8,2,16,512.0,77490.0,104890.0,146.76136363636363
Acer Aspire Lite Intel Core i3 12th Gen 1215U - (16 GB/1 TB SSD/Windows 11 Home) AL15-52 Thin and Ligh...,Intel Core i3 Processor (12th Gen),Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,32,4.1,708,59,16,1.0,33990.0,49990.0,1999.4117647058824
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,Intel Core i5 Processor (13th Gen),Windows 11 Operating System,35.56 cm (14 Inch) Display,1 Year Carry-in Warranty,34,4.1,8,1,16,512.0,43990.0,66999.0,83.31439393939394
DELL Latitude 3540 Intel Core i3 12th Gen - (8 GB/512 GB SSD/Ubuntu) Latitude 3540 Laptop,Intel Core i3 Processor (12th Gen),Linux/Ubuntu Operating System,39.62 cm (15.6 inch) Display,No Warranty,32,4.1,44,4,8,512.0,30390.0,44990.0,58.44230769230769
ASUS TUF Gaming A15 with 90WHr Battery AMD Ryzen 7 Octa Core 7735HS - (16 GB/512 GB SSD/Windows 11 Hom...,AMD Ryzen 7 Octa Core Processor,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,16,4.1,88,11,16,512.0,99900.0,119990.0,189.20454545454547
Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,MediaTek MT8788 Processor,Android Operating System,29.46 cm (11.6 Inch) Display,1 Year Pick and Drop Warranty,44,4.2,919,864,4,,13990.0,24990.0,
Acer Predator Helios Neo 16 Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Grap...,Intel Core i7 Processor (14th Gen),Windows 11 Operating System,40.64 cm (16 Inch) Display,1 Year Carry-in Warranty,19,4.3,31,3,16,1.0,114990.0,142999.0,6764.117647058823
Lenovo Ideapad Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics) 15IAH8...,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,39.62 cm (15.6 Inch) Display,No Warranty,32,4.1,34,2,16,512.0,50990.0,75000.0,96.5719696969697
ASUS TUF Gaming F15 Intel Core i7 12th Gen 12700H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVID...,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,42,4.3,53,7,16,1.0,99990.0,173990.0,5881.764705882353
HP 255 G9 AMD Ryzen 3 Dual Core R3 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Thin and Light Lapt...,AMD Ryzen 3 Dual Core Processor,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite warranty by OEM,37,4,233,86,8,512.0,24999.0,39999.0,48.075
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen N5100 - (4 GB/128 GB SSD/Windows 11 Home) XL30 Th...,Intel Celeron Quad Core Processor (11th Gen),Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,40,3.9,130,122,4,128.0,17990.0,29990.0,136.28787878787878
